identifier,ability,abilityOperator,abilityText,abilityUnit,enhanceValues,h
rune_ability_1025_0,spellDurationModifier_dodge,+,Evasion Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1025_1,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1026_0,spellDurationModifier_dodge,+,Evasion Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1026_1,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.32|0.39|0.46|0.46|0.46,
rune_ability_1027_0,spellDurationModifier_dodge,+,Evasion Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1027_1,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.32|0.39|0.46|0.46|0.46,
rune_ability_1028_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1028_1,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1029_0,dragonClassAttackModifier_warrior,+,Increase Warrior Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1029_1,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1030_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1030_1,spellDurationModifier_cloak,+,Cloak Duration,s,0.36|0.44|0.52|0.52|0.52,
rune_ability_1031_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1031_1,spellDurationModifier_cloak,+,Cloak Duration,s,0.36|0.44|0.52|0.52|0.52,
rune_ability_1032_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1032_1,spellDurationModifier_invertSpell,+,Invert Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1033_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1033_1,spellDurationModifier_invertSpell,+,Invert Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1034_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1034_1,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.885|1.08|1.275|1.275|1.275,
rune_ability_1035_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1035_1,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.885|1.08|1.275|1.275|1.275,
rune_ability_1036_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1036_1,chainLightningNumChainsModifier_chainLightning,+,Chain Lightning Chains,chains,0|1|1|1|1,
rune_ability_1037_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1037_1,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.072|0.088|0.104|0.104|0.104,
rune_ability_1038_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1038_1,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.072|0.088|0.104|0.104|0.104,
rune_ability_1039_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1039_1,dragonClassTotalAmmoIncreaseModifier_hunter,+,Hunter Ammo Increase,,0|1|1|1|1,
rune_ability_1040_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1040_1,dragonClassTotalAmmoIncreaseModifier_hunter,+,Hunter Ammo Increase,,0|1|1|1|1,
rune_ability_1041_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1041_1,dragonXPGainModifier,+,Experience Gain Increase,%,0.041|0.05|0.059|0.059|0.059,
rune_ability_1042_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1042_1,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1043_0,dragonRageGenerationModifier,+,Rage Generation,%,0.051|0.057|0.063|0.069|0.075,
rune_ability_1043_1,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.036|0.044|0.052|0.052|0.052,
rune_ability_1044_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.077|0.086|0.095|0.104|0.113,
rune_ability_1044_1,dragonRageGenerationModifier,+,Rage Generation,%,0.027|0.033|0.039|0.039|0.039,
rune_ability_1045_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.077|0.086|0.095|0.104|0.113,
rune_ability_1045_1,spellDurationModifier_cloak,+,Cloak Duration,s,0.36|0.44|0.52|0.52|0.52,
rune_ability_1046_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.077|0.086|0.095|0.104|0.113,
rune_ability_1046_1,spellDurationModifier_invertSpell,+,Invert Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1047_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.077|0.086|0.095|0.104|0.113,
rune_ability_1047_1,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.885|1.08|1.275|1.275|1.275,
rune_ability_1048_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.077|0.086|0.095|0.104|0.113,
rune_ability_1048_1,chainLightningNumChainsModifier_chainLightning,+,Chain Lightning Chains,chains,0|1|1|1|1,
rune_ability_1049_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.077|0.086|0.095|0.104|0.113,
rune_ability_1049_1,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.072|0.088|0.104|0.104|0.104,
rune_ability_1050_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.077|0.086|0.095|0.104|0.113,
rune_ability_1050_1,dragonClassTotalAmmoIncreaseModifier_hunter,+,Hunter Ammo Increase,,0|1|1|1|1,
rune_ability_1051_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.077|0.086|0.095|0.104|0.113,
rune_ability_1051_1,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1052_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.077|0.086|0.095|0.104|0.113,
rune_ability_1052_1,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.036|0.044|0.052|0.052|0.052,
rune_ability_1053_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1053_1,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1054_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1054_1,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1055_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1055_1,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1056_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1056_1,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1057_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1057_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1058_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1058_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1059_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1059_1,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1060_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1060_1,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1061_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1061_1,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1062_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1062_1,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1063_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1063_1,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1064_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1064_1,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1065_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1065_1,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1066_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1066_1,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1067_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1067_1,spellDurationModifier_dodge,+,Evasion Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1068_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1068_1,spellDurationModifier_dodge,+,Evasion Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1069_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1069_1,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1070_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1070_1,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1071_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1071_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1072_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1072_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1073_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1073_1,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1074_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1074_1,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1075_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1075_1,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1076_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1076_1,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1077_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1077_1,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1078_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1078_1,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1079_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1079_1,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1080_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1080_1,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1081_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,s,0.01|0.015|0.02|0.025|0.03,
rune_ability_1081_1,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.32|0.39|0.46|0.46|0.46,
rune_ability_1082_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,s,0.01|0.015|0.02|0.025|0.03,
rune_ability_1082_1,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.32|0.39|0.46|0.46|0.46,
rune_ability_1083_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1083_1,dragonRageGenerationModifier,+,Rage Generation,%,0.027|0.033|0.039|0.039|0.039,
rune_ability_1084_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1084_1,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.885|1.08|1.275|1.275|1.275,
rune_ability_1085_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1085_1,dragonXPGainModifier,+,Experience Gain Increase,%,0.041|0.05|0.059|0.059|0.059,
rune_ability_1086_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1086_1,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.036|0.044|0.052|0.052|0.052,
rune_ability_1087_0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,1.65|1.86|2.055|2.25|2.445,
rune_ability_1087_1,dragonRageGenerationModifier,+,Rage Generation,%,0.027|0.033|0.039|0.039|0.039,
rune_ability_1088_0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,1.65|1.86|2.055|2.25|2.445,
rune_ability_1088_1,dragonRageGenerationModifier,+,Rage Generation,%,0.027|0.033|0.039|0.039|0.039,
rune_ability_1089_0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,1.65|1.86|2.055|2.25|2.445,
rune_ability_1089_1,dragonXPGainModifier,+,Experience Gain Increase,%,0.041|0.05|0.059|0.059|0.059,
rune_ability_1090_0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,1.65|1.86|2.055|2.25|2.445,
rune_ability_1090_1,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1091_0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,1.65|1.86|2.055|2.25|2.445,
rune_ability_1091_1,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.036|0.044|0.052|0.052|0.052,
rune_ability_1092_0,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.068|0.076|0.084|0.092|0.1,
rune_ability_1092_1,dragonRageGenerationModifier,+,Rage Generation,%,0.027|0.033|0.039|0.039|0.039,
rune_ability_1093_0,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.068|0.076|0.084|0.092|0.1,
rune_ability_1093_1,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.885|1.08|1.275|1.275|1.275,
rune_ability_1094_0,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.068|0.076|0.084|0.092|0.1,
rune_ability_1094_1,dragonXPGainModifier,+,Experience Gain Increase,%,0.041|0.05|0.059|0.059|0.059,
rune_ability_1095_0,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.068|0.076|0.084|0.092|0.1,
rune_ability_1095_1,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1096_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1096_1,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1097_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1097_1,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1098_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1098_1,spellDurationModifier_dodge,+,Evasion Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1099_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1099_1,spellDurationModifier_dodge,+,Evasion Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1100_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1100_1,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1101_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1101_1,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1102_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1102_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1103_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1103_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1104_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1104_1,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1105_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1105_1,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1106_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1106_1,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1107_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1107_1,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1108_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1108_1,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1109_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1109_1,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1110_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1110_1,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1111_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.6|0.67|0.74|0.81|0.88,
rune_ability_1111_1,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1112_0,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1112_1,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1113_0,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1113_1,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1114_0,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1114_1,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.01|0.015|0.02|0.025|0.03,
rune_ability_1115_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1115_1,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1116_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1116_1,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.18|0.22|0.26|0.26|0.26,
rune_ability_1117_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1117_1,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1118_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1118_1,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1119_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1119_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1120_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1120_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1121_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1121_1,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1122_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1122_1,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1123_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1123_1,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1124_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1124_1,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1125_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1125_1,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1126_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1126_1,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1127_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1127_1,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1128_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1128_1,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025|0.025|0.025,
rune_ability_1129_0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1129_1,dragonRageGenerationModifier,+,Rage Generation,%,0.027|0.033|0.039|0.039|0.039,
rune_ability_1130_0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1130_1,dragonRageGenerationModifier,+,Rage Generation,%,0.027|0.033|0.039|0.039|0.039,
rune_ability_1131_0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1131_1,chainLightningNumChainsModifier_chainLightning,+,Chain Lightning Chains,chains,0|1|1|1|1,
rune_ability_1132_0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1132_1,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.072|0.088|0.104|0.104|0.104,
rune_ability_1133_0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.34|0.38|0.42|0.46|0.5,
rune_ability_1133_1,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.072|0.088|0.104|0.104|0.104,
